word	score
demeaning	-0.3
demise	-0.3
demolish	-0.3
demolisher	-0.3
demon	-0.3
demonic	-0.3
demonize	-0.3
demonized	-0.3
demonizes	-0.3
demonizing	-0.3
demoralize	-0.3
demoralizing	-0.3
demoralizingly	-0.3
denial	-0.3
denied	-0.3
denies	-0.3
denigrate	-0.3
denounce	-0.3
dense	-0.3
dent	-0.3
dented	-0.3
dents	-0.3
denunciate	-0.3
denunciation	-0.3
denunciations	-0.3
deny	-0.3
denying	-0.3
deplete	-0.3
deplorable	-0.3
deplorably	-0.3
deplore	-0.3
deploring	-0.3
deploringly	-0.3
deprave	-0.3
depraved	-0.3
depravedly	-0.3
deprecate	-0.3
depress	-0.3
depressed	-0.3
depressing	-0.3
depressingly	-0.3
depression	-0.3
depressions	-0.3
deprive	-0.3
deprived	-0.3
deride	-0.3
derision	-0.3
derisive	-0.3
derisively	-0.3
derisiveness	-0.3
derogatory	-0.3
desecrate	-0.3
desert	-0.3
desertion	-0.3
desiccate	-0.3
desiccated	-0.3
desititute	-0.3
desolate	-0.3
desolately	-0.3
desolation	-0.3
despair	-0.3
despairing	-0.3
despairingly	-0.3
desperate	-0.3
desperately	-0.3
desperation	-0.3
despicable	-0.3
despicably	-0.3
despise	-0.3
despised	-0.3
despoil	-0.3
despoiler	-0.3
despondence	-0.3
despondency	-0.3
despondent	-0.3
despondently	-0.3
despot	-0.3
despotic	-0.3
despotism	-0.3
destabilisation	-0.3
destains	-0.3
destitute	-0.3
destitution	-0.3
destroy	-0.3
destroyer	-0.3
destruction	-0.3
destructive	-0.3
desultory	-0.3
deter	-0.3
deteriorate	-0.3
deteriorating	-0.3
deterioration	-0.3
deterrent	-0.3
detest	-0.3
detestable	-0.3
detestably	-0.3
detested	-0.3
detesting	-0.3
detests	-0.3
detract	-0.3
detracted	-0.3
detracting	-0.3
detraction	-0.3
detracts	-0.3
detriment	-0.3
detrimental	-0.3
devastate	-0.3
devastated	-0.3
devastates	-0.3
devastating	-0.3
devastatingly	-0.3
devastation	-0.3
deviate	-0.3
deviation	-0.3
devil	-0.3
devilish	-0.3
devilishly	-0.3
devilment	-0.3
devilry	-0.3
devious	-0.3
deviously	-0.3
deviousness	-0.3
devoid	-0.3
diabolic	-0.3
diabolical	-0.3
diabolically	-0.3
diametrically	-0.3
diappointed	-0.3
diatribe	-0.3
diatribes	-0.3
dick	-0.3
dictator	-0.3
dictatorial	-0.3
die	-0.3
die-hard	-0.3
died	-0.3
dies	-0.3
difficult	-0.3
difficulties	-0.3
difficulty	-0.3
diffidence	-0.3
dilapidated	-0.3
dilemma	-0.3
dilly-dally	-0.3
dim	-0.3
dimmer	-0.3
din	-0.3
ding	-0.3
dings	-0.3
dinky	-0.3
dire	-0.3
direly	-0.3
direness	-0.3
dirt	-0.3
dirtbag	-0.3
dirtbags	-0.3
dirts	-0.3
dirty	-0.3
disable	-0.3
disabled	-0.3
disaccord	-0.3
disadvantage	-0.3
disadvantaged	-0.3
disadvantageous	-0.3
disadvantages	-0.3
disaffect	-0.3
disaffected	-0.3
disaffirm	-0.3
disagree	-0.3
disagreeable	-0.3
disagreeably	-0.3
disagreed	-0.3
disagreeing	-0.3
disagreement	-0.3
disagrees	-0.3
disallow	-0.3
disapointed	-0.3
disapointing	-0.3
disapointment	-0.3
disappoint	-0.3
disappointed	-0.3
disappointing	-0.3
disappointingly	-0.3
disappointment	-0.3
disappointments	-0.3
disappoints	-0.3
disapprobation	-0.3
disapproval	-0.3
disapprove	-0.3
disapproving	-0.3
disarm	-0.3
disarray	-0.3
disaster	-0.3
disasterous	-0.3
disastrous	-0.3
disastrously	-0.3
disavow	-0.3
disavowal	-0.3
disbelief	-0.3
disbelieve	-0.3
disbeliever	-0.3
disclaim	-0.3
discombobulate	-0.3
discomfit	-0.3
discomfititure	-0.3
discomfort	-0.3
discompose	-0.3
disconcert	-0.3
disconcerted	-0.3
disconcerting	-0.3
disconcertingly	-0.3
disconsolate	-0.3
disconsolately	-0.3
disconsolation	-0.3
discontent	-0.3
discontented	-0.3
discontentedly	-0.3
discontinued	-0.3
discontinuity	-0.3
discontinuous	-0.3
discord	-0.3
discordance	-0.3
discordant	-0.3
discountenance	-0.3
discourage	-0.3
discouragement	-0.3
discouraging	-0.3
discouragingly	-0.3
discourteous	-0.3
discourteously	-0.3
discoutinous	-0.3
discredit	-0.3
discrepant	-0.3
discriminate	-0.3
discrimination	-0.3
discriminatory	-0.3
disdain	-0.3
disdained	-0.3
disdainful	-0.3
disdainfully	-0.3
disfavor	-0.3
disgrace	-0.3
disgraced	-0.3
disgraceful	-0.3
disgracefully	-0.3
disgruntle	-0.3
disgruntled	-0.3
disgust	-0.3
disgusted	-0.3
disgustedly	-0.3
disgustful	-0.3
disgustfully	-0.3
disgusting	-0.3
disgustingly	-0.3
dishearten	-0.3
disheartening	-0.3
dishearteningly	-0.3
dishonest	-0.3
dishonestly	-0.3
dishonesty	-0.3
dishonor	-0.3
dishonorable	-0.3
dishonorablely	-0.3
disillusion	-0.3
disillusioned	-0.3
disillusionment	-0.3
disillusions	-0.3
disinclination	-0.3
disinclined	-0.3
disingenuous	-0.3
disingenuously	-0.3
disintegrate	-0.3
disintegrated	-0.3
disintegrates	-0.3
disintegration	-0.3
disinterest	-0.3
disinterested	-0.3
dislike	-0.3
disliked	-0.3
dislikes	-0.3
disliking	-0.3
dislocated	-0.3
disloyal	-0.3
disloyalty	-0.3
dismal	-0.3
dismally	-0.3
dismalness	-0.3
dismay	-0.3
dismayed	-0.3
dismaying	-0.3
dismayingly	-0.3
dismissive	-0.3
dismissively	-0.3
disobedience	-0.3
disobedient	-0.3
disobey	-0.3
disoobedient	-0.3
disorder	-0.3
disordered	-0.3
disorderly	-0.3
disorganized	-0.3
disorient	-0.3
disoriented	-0.3
disown	-0.3
disparage	-0.3
disparaging	-0.3
disparagingly	-0.3
dispensable	-0.3
dispirit	-0.3
dispirited	-0.3
dispiritedly	-0.3
dispiriting	-0.3
displace	-0.3
displaced	-0.3
displease	-0.3
displeased	-0.3
displeasing	-0.3
displeasure	-0.3
disproportionate	-0.3
disprove	-0.3
disputable	-0.3
dispute	-0.3
disputed	-0.3
disquiet	-0.3
disquieting	-0.3
disquietingly	-0.3
disquietude	-0.3
disregard	-0.3
disregardful	-0.3
disreputable	-0.3
disrepute	-0.3
disrespect	-0.3
disrespectable	-0.3
disrespectablity	-0.3
disrespectful	-0.3
disrespectfully	-0.3
disrespectfulness	-0.3
disrespecting	-0.3
disrupt	-0.3
disruption	-0.3
disruptive	-0.3
diss	-0.3
dissapointed	-0.3
dissappointed	-0.3
dissappointing	-0.3
dissatisfaction	-0.3
dissatisfactory	-0.3
dissatisfied	-0.3
dissatisfies	-0.3
dissatisfy	-0.3
dissatisfying	-0.3
